project_name,district,market_segment,tenure,lease_start_year,transaction_count,median_psf,avg_psf_5yr_ago,appreciation_1yr,appreciation_3yr,appreciation_5yr,annualized_appreciation,resale_annualized_appreciation,new_sale_proportion,has_new_launch_bias,appreciation_momentum,data_coverage,source,updated
HILLVISTA,D23,Outside Central Region,Freehold,,23,1654.0,1364.0,-5.647461494580719,6.7096774193548425,21.260997067448685,3.9307896448280477,3.9307896448280477,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
HILLVIEW PARK,D23,Outside Central Region,Freehold,,22,1569.5,1146.0,5.335570469798667,6.442861987114279,36.95462478184992,6.49159712368006,6.49159712368006,0.0,False,-0.231,5yr,ura_5yr_cagr,2026-06-07
LAUREL TREE,D23,Outside Central Region,Freehold,,22,1556.0,,0.5167958656330685,3.595206391478034,,,1.7290649963216387,0.0,False,-0.136,3yr,ura_data,2026-06-07
THE PETALS,D23,Outside Central Region,Freehold,,21,1193.0,1084.0,-12.983223924142962,2.535453373442209,10.055350553505527,2.42424949172928,2.42424949172928,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
CHANTILLY RISE,D23,Outside Central Region,Freehold,,20,1489.5,1298.0,15.108191653786719,13.012139605462814,14.753466872110943,3.500263097851186,3.500263097851186,0.0,False,1.0,5yr,ura_5yr_cagr,2026-06-07
YEWTEE RESIDENCES,D23,Outside Central Region,99 yrs lease commencing from 2006,2006,19,1218.0,941.5,-11.546840958605664,9.72972972972972,29.368029739776947,5.284731225860129,5.284731225860129,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
HILLVIEW RESIDENCE,D23,Outside Central Region,999 yrs lease commencing from 1885,1885,13,1469.0,1217.0,3.305203938115331,4.853675945753033,20.706655710764178,3.835592051249459,3.835592051249459,0.0,False,-0.106,5yr,ura_5yr_cagr,2026-06-07
CENTURY MANSIONS,D23,Outside Central Region,Freehold,,10,1400.5,986.0,1.595937613347842,6.745426829268286,42.03853955375254,9.169557395181837,9.169557395181837,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
MERALODGE,D23,Outside Central Region,Freehold,,9,1447.0,1101.0,7.543664065403188,14.296998420221163,31.42597638510445,7.070616435362309,7.070616435362309,0.0,False,0.095,5yr,ura_5yr_cagr,2026-06-07
HILLVIEW 128,D23,Outside Central Region,999 yrs lease commencing from 1885,1885,9,1475.0,1031.0,8.775811209439532,12.082066869300911,43.06498545101842,9.366254451176248,9.366254451176248,0.0,False,-0.118,5yr,ura_5yr_cagr,2026-06-07
