project_name,district,region,beds,baths,price,psf,sqft,mmr,score_1000,scored_at,tenure,built_year,floor_level,facing,mrt_info,total_units,first_seen,last_seen,times_seen,last_price_change,price_trend,lowest_price,drop_from_peak_pct,status,url
The Peak @ Balmeg,D05,City & South West (D01-08),3,3,3288888,1922.2,1711.0,1450.4,139,2026-06-07,Freehold,2011,,,2 min (140 m) from CC25 Haw Par Villa MRT Station,,2026-06-07,2026-06-07,1,,new,3288888,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-peak-balmeg-500112015
Artra,D03,City & South West (D01-08),3,2,3288000,2679.71,1227.0,1493.0,401,2026-06-07,99-year Leasehold,2021,,,1 min (40 m) from EW18 Redhill MRT Station,,2026-06-07,2026-06-07,1,,new,3288000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-artra-500104280
St Patrick's Residences,D15,East Coast (D15-16),3,2,3280000,1683.78,1948.0,1504.2,493,2026-06-07,Freehold,2013,,,1 min (100 m) from TE27 Marine Terrace MRT Station,,2026-06-07,2026-06-07,1,,new,3280000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-st-patrick-s-residences-60127687
The Crest,D03,City & South West (D01-08),3,3,3280000,2086.51,1572.0,1470.2,239,2026-06-07,99-year Leasehold,2017,,,10 min (800 m) from EW18 Redhill MRT Station,,2026-06-07,2026-06-07,1,,new,3280000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-crest-23777202
One Pearl Bank,D03,City & South West (D01-08),3,2,3250000,2821.18,1152.0,1467.2,221,2026-06-07,99-year Leasehold,2024,,,6 min (480 m) from NE3 Outram Park MRT Station,,2026-06-07,2026-06-07,1,,new,3250000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-one-pearl-bank-24896233
Parc Clematis,D05,City & South West (D01-08),3,3,3250000,2602.08,1249.0,1498.8,448,2026-06-07,99-year Leasehold,2023,,,15 min (1.25 km) from EW23 Clementi MRT Station,,2026-06-07,2026-06-07,1,,new,3250000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-parc-clematis-500074031
Chuan Park,D19,Serangoon / Thomson (D19-20),3,2,3234900,2682.34,1206.0,1498.8,449,2026-06-07,99-year Leasehold,2028,,,5 min (400 m) from CC14 Lorong Chuan MRT Station,,2026-06-07,2026-06-07,1,,new,3234900,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-chuan-park-500126753
Chuan Park,D19,Serangoon / Thomson (D19-20),3,2,3234900,2682.34,1206.0,1501.1,468,2026-06-07,99-year Leasehold,2028,,,2 min (150 m) from CC14 Lorong Chuan MRT Station,,2026-06-07,2026-06-07,1,,new,3234900,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-chuan-park-25641160
Promenade Peak,D03,City & South West (D01-08),3,2,3212700,3110.07,1033.0,1496.6,430,2026-06-07,99-year Leasehold,2031,,,5 min (410 m) from TE15 Great World MRT Station,,2026-06-07,2026-06-07,1,,new,3212700,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-promenade-peak-60053378
Promenade Peak,D03,City & South West (D01-08),3,3,3212700,3110.07,1033.0,1496.6,430,2026-06-07,99-year Leasehold,2031,,,5 min (410 m) from TE15 Great World MRT Station,,2026-06-07,2026-06-07,1,,new,3212700,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-promenade-peak-25630676
Promenade Peak,D03,City & South West (D01-08),3,2,3212700,3110.07,1033.0,1496.6,430,2026-06-07,99-year Leasehold,2031,,,5 min (410 m) from TE15 Great World MRT Station,,2026-06-07,2026-06-07,1,,new,3212700,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-promenade-peak-60047492
